observed_at,category,product,sku,seller,country,price,currency,pln_price,vat_status,shipping_to_poland,delivered_pln,stock,warranty,rma_quality,source_url,notes
2026-08-09,CPU,AMD Ryzen Threadripper 9960X,unknown,x-kom,Poland,6799.00,PLN,6799.00,included,"store pickup free; other methods from 10.99 PLN",6799.00,available to order,"36 months manufacturer",good,https://www.x-kom.pl/p/1352185-procesor-amd-threadripper-amd-ryzen-threadripper-9960x.html,"shipping excluded from delivered total because method not selected"
2026-08-09,CPU,AMD Ryzen Threadripper 9960X,100-100001595WOF,Amazon.pl direct,Poland,6573.07,PLN,6573.07,included,free,6573.07,"3 units available","3 years manufacturer",good,https://www.amazon.pl/gp/product/B0FJ6KKCD5/?smid=A2R2221NX79QZP&psc=1,"new retail CPU; sold and shipped by Amazon; 30-day Amazon return; standard delivery shown free"
2026-08-09,CPU alternative,AMD Ryzen Threadripper 9970X,unknown,x-kom,Poland,10299.00,PLN,10299.00,included,"store pickup free; other methods from 10.99 PLN",10299.00,available soon,"36 months manufacturer",good,https://www.x-kom.pl/p/1352186-procesor-amd-threadripper-amd-ryzen-threadripper-9970x.html,"51.48% premium over 9960X; not compelling"
2026-08-09,Motherboard,Gigabyte TRX50 AI TOP,unknown,x-kom,Poland,4579.00,PLN,4579.00,included,"store pickup free; other methods from 10.99 PLN",4579.00,available,"36 months manufacturer",good,https://www.x-kom.pl/p/1316393-plyta-glowna-socket-str5-gigabyte-trx50-ai-top.html,"primary target"
2026-08-09,Motherboard alternative,ASUS Pro WS TRX50-SAGE WiFi,unknown,Morele direct,Poland,3692.69,PLN,3692.69,included,"0-25.99 PLN",3692.69,in stock,unknown,good,https://www.morele.net/plyta-glowna-asus-pro-ws-trx50-sage-wifi-13173221/,"do not substitute without slot/lane/RMA comparison"
2026-08-09,CPU cooler,Thermaltake AW420 TR5/SP6,CL-W445-PL14BL-A,Morele direct,Poland,1434.40,PLN,1434.40,included,"0-25.99 PLN",1434.40,in stock,unknown,good,https://www.morele.net/chlodzenie-wodne-thermaltake-aio-aw420-cl-w445-pl14bl-a-15342140/,"exact target SKU"
2026-08-09,Case,Phanteks Enthoo Elite Server,PH-ES916E_BK02,Caseking,Germany,399.90,EUR,1719.97,"included at displayed rate; Polish destination VAT requires checkout verification","starts at 4.99 EUR; Poland total unknown",unknown,"pre-order; expected restock 2026-09-22",unknown,good,https://www.caseking.de/en/phanteks-enthoo-elite-server-pc-case-big-tower-ssi-eeb-and-multi-gpu-black/GEPH-222.html,"exact target; Caseking SKU GEPH-222; PLN conversion uses NBP EUR/PLN 4.301 effective 2026-08-07; cross-border return shipping and final Polish checkout VAT/shipping need verification"
2026-08-09,PSU,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,Morele direct,Poland,2173.14,PLN,2173.14,included,"0-25.99 PLN",2173.14,in stock,"12 years manufacturer",good,https://www.morele.net/zasilacz-seasonic-prime-px-atx-3-2200w-prime-px-2200-atx30-14499536/,"exact compatible model; EAN 4711173878414; retailer explicitly identifies ATX 3.1 and 12V-2x6; official Seasonic ATX 3.1 page confirms 2200W model"
2026-08-09,PSU,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,CAPS,Netherlands,468.72,EUR,2015.96,"Dutch displayed VAT included; Polish destination VAT not verified",unknown,unknown,"1 available; listed 1-2 working days","12 years manufacturer",unknown,https://www.caps.nl/seasonic-voeding-2200w-prime-px-2200-atx30-modulair-platin-id-990756.html,"exact compatible model; EAN 4711173878414; CAPS title uses ATX3/ATX30 shorthand but matching EAN is identified by Morele as ATX 3.1 and Seasonic officially confirms the 2200W ATX 3.1 model; displayed price converts at NBP EUR/PLN 4.301 effective 2026-08-07; estimated Polish 23% VAT price is 2049.29 PLN before unknown shipping"
2026-08-09,RAM 64GB module,Micron DDR5-6400 ECC RDIMM 64GB,MTC40F2046S1RC64BD2R,NET-S,Poland,7063.47,PLN,7063.47,included,"from 8.99 PLN",7063.47,"listed available; quantity four not confirmed",unknown,unknown,https://www.net-s.pl/produkt/micron-pamiec-serwerowa-ddr5-64gb-6400-rdimm-11v-cl52-1880204,"four-module 256GB total 28253.88 PLN; JEDEC DDR5-6400 CL52 1.1V; order only after seller confirms four identical full SKUs/revisions/ranks and preferably one batch; exact Gigabyte QVL line not verified"
2026-08-09,GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,RTV Euro AGD,Poland,20999.00,PLN,20999.00,included,free,20999.00,"active offer reported by Ceneo; confirm at checkout",unknown,good,https://www.euro.com.pl/karty-graficzne/asus-karta-graf-asus-proart-rtx5090-o-32g.bhtml,"exact target; offer independently exposed by Ceneo; 304x140x50mm and 2.5-slot; checkout confirmation required because retailer page blocked automated retrieval"
2026-08-09,GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,Morele direct,Poland,25140.41,PLN,25140.41,included,"0-25.99 PLN",25140.41,in stock,"36 months manufacturer",good,https://www.morele.net/karta-graficzna-asus-proart-geforce-rtx-5090-oc-32gb-gddr7-dlss4-proart-rtx5090-o32g-600147680/,"exact target and directly machine-verifiable; verify Morele seller-of-record in basket"
